tick,day,cost_of_goods,opinion_mean,opinion_std,opinion_min,opinion_max,disposition_mean,disposition_max,count_quiet,count_agitated,count_flight,count_protest,count_riot,count_mob,count_employed,count_unhoused,avg_connections,homophily
1100,200,102.30177005724613,0.09903964501151051,0.7514918759203164,-0.9567186978226084,0.96917057992328,-0.00023798425257704037,0.4836977380371694,8,18,24,0,0,0,44,6,6.88,0.9557177712296777
1101,201,102.30177005724613,0.09879757572279424,0.7481913486517175,-0.9560554519313846,0.9694385226731833,0.08001719292645493,0.5521088011592835,2,13,34,0,1,0,44,6,6.88,0.9544211389779037
1102,201,102.30177005724613,0.09879757572279424,0.7481913486517175,-0.9560554519313846,0.9694385226731833,0.07823341300861818,0.4581963825359632,1,15,34,0,0,0,44,6,6.88,0.9567126111121579
1103,202,102.30177005724613,0.09947438869841907,0.7572456576102008,-0.9723261886337118,0.9694385226731833,0.12327003828510817,0.5141250738921938,1,12,36,1,0,0,44,6,6.88,0.9567319268864352
1104,202,102.30177005724613,0.09947438869841907,0.7572456576102008,-0.9723261886337118,0.9694385226731833,0.1499972075201622,0.7151978600133863,0,12,37,0,1,0,44,6,6.88,0.9590403138425138
1105,203,102.30177005724613,0.0989140211599596,0.7621336615048928,-0.9723261886337118,0.9789875397187825,0.18246570998880898,0.5824076757686568,1,12,37,0,0,0,44,6,6.88,0.9606849270299331
1106,203,102.30177005724613,0.09838529096717014,0.7471908229430364,-0.9654937476604893,0.9730725478159686,0.18713086143063273,0.7052200773654608,0,10,37,2,1,0,44,6,6.88,0.9597157433702375
1107,204,102.30177005724613,0.0991619007294989,0.7481472957861641,-0.9812510117253368,0.9730725478159686,0.19580319844835908,0.680984843394501,0,11,36,3,0,0,44,6,6.88,0.9585141315392205
1108,204,102.30177005724613,0.0991619007294989,0.7481472957861641,-0.9812510117253368,0.9730725478159686,0.19964056723679327,0.6739116942782531,0,11,36,3,0,0,44,6,6.88,0.9586404747345649
1109,205,102.30177005724613,0.0995926057700199,0.7504256074393557,-0.9895784611503223,0.9730725478159686,0.19262018651014728,0.6724856454672467,0,11,37,2,0,0,44,6,6.88,0.9565065660429302
1110,205,102.30177005724613,0.0995926057700199,0.7504256074393557,-0.9895784611503223,0.9730725478159686,0.21704044234865244,0.6936835083034844,0,8,39,3,0,0,44,6,6.88,0.9565065660429302
1111,206,102.30177005724613,0.10075574237130912,0.7320958864958002,-0.9826710515513302,0.9718557286229501,0.3253412782614609,0.6958576801033385,0,3,35,2,9,1,44,6,6.84,0.9521841331361693
1112,206,102.30177005724613,0.10075574237130912,0.7320958864958002,-0.9826710515513302,0.9718557286229501,0.34534037475662094,1.4410883114360376,0,4,36,3,7,0,44,6,6.84,0.9521841331361693
1113,207,102.30177005724613,0.10105179929131024,0.7315786009205981,-0.9826710515513302,0.9718557286229501,0.29561838331344964,0.8288180622845228,0,4,38,3,5,0,44,6,6.84,0.9476504590058854
1114,207,102.30177005724613,0.10105179929131024,0.7315786009205981,-0.9826710515513302,0.9718557286229501,0.1992866154764328,0.5804248268198962,0,7,39,2,2,0,44,6,6.84,0.9485180828515015
1115,208,102.30177005724613,0.10097215699297514,0.7315019218210588,-0.9826710515513302,0.9718557286229501,0.14548546279688507,0.4704151153939832,1,11,36,2,0,0,44,6,6.84,0.9479961159656244
1116,208,102.30177005724613,0.09856039810210242,0.7142284114906707,-0.9757936576505463,0.9706474645067892,0.29862825446282765,0.9535620083183812,0,5,36,4,5,0,44,6,6.84,0.9472646360962548
1117,209,102.30177005724613,0.09869810450779588,0.7143433184700607,-0.9757936576505463,0.9706474645067892,0.21365671713395945,0.70162836792471,0,7,37,2,4,0,44,6,6.84,0.9479429039183285
1118,209,102.30177005724613,0.09869810450779588,0.7143433184700607,-0.9757936576505463,0.9706474645067892,0.18583617507611713,0.6884011862017296,0,9,37,3,1,0,44,6,6.84,0.9479429039183285
1119,210,102.69051678346366,0.10121140116654587,0.7188656834409655,-0.9862411765616855,0.9706474645067892,0.16543487805971036,0.5960701226020456,0,10,38,2,0,0,44,6,6.84,0.947771237281543
