tick,eim_1d
118,-0.6285522633704854
119,-0.6375132968402398
120,-0.48568447600036946
121,-0.4680097607650032
122,-0.6053842059744666
123,-0.6288795630683077
124,-0.6765907280351164
125,-0.40191368860797383
126,-0.3378525337741891
127,-0.21790911227732035
128,-0.3245765860518166
129,-0.4885870999834162
130,-0.297385174590755
131,-0.24301326969663994
132,-0.3641312586112391
133,-0.418519061187666
134,-0.4216317193592831
135,-0.43640299725579756
136,-0.45346159452633716
137,-0.590096874875893
138,-0.6787557530065174
139,-0.7438287868895326
140,-0.7207570088363331
141,-0.6945271021496601
142,-0.7120693506408258
143,-0.7056039880756955
144,-0.7740571931159834
145,-0.7693920835225021
146,-0.8017381781873936
147,-0.827358222756666
148,-0.7856561342136723
149,-0.42077410181829333
150,-0.20859304779402232
151,-0.11505979841653058
152,-0.23770644346531644
153,-0.07614908201798931
154,-0.10974240685835113
155,-0.29904516102872625
156,-0.3944709718783872
157,-0.4436972661574744
158,-0.31298506453533526
159,-0.3251949288419832
160,-0.410680590603571
161,-0.42595904712144106
162,-0.40648966487674654
163,-0.43527608215378066
164,-0.45390838525631594
165,-0.5538498313575291
166,-0.5879373972748407
167,-0.5737416013461659
168,-0.5253118120843001
169,-0.5342849012545177
170,-0.2585284722145307
171,-0.2694490440395758
172,-0.39542196078311864
173,-0.44175206739223916
174,-0.5072289534621106
175,-0.6396016075208796
176,-0.6265893920310427
177,-0.5748072650101528
178,-0.5545499596103949
179,-0.641371469970848
180,-0.689066280276411
181,-0.6794445388169179
182,-0.6756911254040916
183,-0.7292309545772546
184,-0.764604436072709
185,-0.7156749761436636
186,-0.7288175450836588
187,-0.6567941050160551
188,-0.6767825951473891
189,-0.732606833627476
190,-0.8324951290864679
191,-0.7943406692165612
192,-0.7522654112989728
193,-0.7269322793283304
194,-0.7005042065862056
195,-0.7879969317465758
196,-0.8228563501952751
197,-0.8443353356533077
198,-0.7745258828431906
199,-0.580561689643027
200,-0.2668853173166944
201,-0.33461538281109404
202,-0.23702824211160156
203,-0.3674430464275674
204,-0.5283698630387367
205,-0.5401544323561016
206,-0.5362311548113641
207,-0.553944212084636
208,-0.565245659023839
209,-0.5874225840269947
210,-0.6902906307181449
211,-0.7119716609733643
212,-0.6645947206792373
213,-0.6568471477116686
214,-0.7326927838306976
215,-0.4428894004224453
216,-0.26232232054655313
217,-0.1357710105332729
218,-0.226444647353214
219,-0.350222933516933
220,-0.3958343007856121
221,-0.4363456881165998
222,-0.5444883090197488
223,-0.5819191340771726
224,-0.5745744012426481
225,-0.5726198722084839
226,-0.6739637668657631
227,-0.7399167462445378
228,-0.7550753761247169
229,-0.4428644019795477
230,-0.4176936031672033
231,-0.5892530341162985
232,-0.6378175504018595
233,-0.5854426540102516
234,-0.5647830883895657
235,-0.32141166039618485
236,-0.31649431252601534
237,-0.2150619014544486
238,-0.258163895754316
239,-0.3606940047098286
240,-0.41155584681122204
241,-0.5402164976313573
242,-0.3368100880114916
243,-0.38289835158142604
244,-0.4659775387115861
245,-0.5612445443023892
246,-0.582462138487625
247,-0.6373454750817641
248,-0.6240519042789217
249,-0.6575497773069405
250,-0.6539870655046439
251,-0.6842191166353727
252,-0.4304461565015064
253,-0.4155160663793118
254,-0.5856959165422131
255,-0.6648010063557075
256,-0.651194009950059
257,-0.5883256657103688
258,-0.5692666976300045
259,-0.5840485898019128
260,-0.6055712680935885
261,-0.6085537886723671
262,-0.6080860689131043
263,-0.6930886836836101
264,-0.6810829724499272
265,-0.6206119660034362
266,-0.6220422080438706
267,-0.7051396255205443
268,-0.6840286726914393
269,-0.6701819319373604
270,-0.6663287469440293
271,-0.6510102611420021
272,-0.7241675437098263
273,-0.7406188844596926
274,-0.7509336748756983
275,-0.7306138816707616
276,-0.7447034307434479
277,-0.7304794610083839
278,-0.68467365627855
279,-0.7527254880864177
280,-0.746785772002224
281,-0.7018889822788783
282,-0.7769674269316662
283,-0.7918171974834648
284,-0.8300814272920158
285,-0.8052363172430399
286,-0.4717476153688773
287,-0.4664106716201739
288,-0.5371523757961083
289,-0.4201623550468466
290,-0.4325182743092508
291,-0.2459015576041388
292,-0.268080644023613
293,-0.35746198977688315
294,-0.5037246926798304
295,-0.5426932198587312
296,-0.5257687820483674
297,-0.5331686082344289
298,-0.41063675558830526
299,-0.41369419301007304
300,-0.5167800101923915
301,-0.5525707820861048
